City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pali,25.7667,73.3333,304.29,45,4,7.15,IN,1686524644
1,olonkinbyen,70.9221,-8.7187,274.24,88,100,5.43,SJ,1686524645
2,bousso,10.4795,16.7117,300.98,61,19,1.39,TD,1686524645
3,majuro,7.0897,171.3803,301.73,72,99,8.21,MH,1686524645
4,lorengau,-2.0226,147.2712,301.93,80,26,3.51,PG,1686524481
5,okhotsk,59.3833,143.3,284.3,74,55,1.92,RU,1686524645
6,blackmans bay,-43.0167,147.3167,281.89,90,100,2.78,AU,1686524480
7,murray bridge,-35.1167,139.2667,287.11,63,0,4.86,AU,1686524646
8,waitangi,-43.9535,-176.5597,286.38,94,100,5.85,NZ,1686524646
9,amga,60.8953,131.9608,294.09,55,64,3.19,RU,1686524646
10,ushuaia,-54.8,-68.3,274.96,75,75,8.75,AR,1686524457
11,santa cruz,-17.8,-63.1667,285.85,100,100,7.72,BO,1686524646
12,kodiak,57.79,-152.4072,282.88,71,100,5.66,US,1686524647
13,thompson,55.7435,-97.8558,299.24,34,40,5.66,CA,1686524647
14,ilulissat,69.2167,-51.1,277.16,81,75,0.0,GL,1686524484
15,mount gambier,-37.8333,140.7667,283.85,73,60,4.52,AU,1686524647
16,stanley,54.868,-1.6985,289.12,90,0,1.03,GB,1686524647
17,whitehorse,60.7161,-135.0538,289.58,29,100,8.23,CA,1686524377
18,fuyu,45.1833,124.8167,290.11,78,40,3.5,CN,1686524647
19,takoradi,4.8845,-1.7554,298.53,77,100,4.22,GH,1686524648
20,iqaluit,63.7506,-68.5145,276.0,74,75,6.17,CA,1686524648
21,longyearbyen,78.2186,15.6401,276.06,87,75,3.6,SJ,1686524595
22,port mathurin,-19.6833,63.4167,298.05,69,7,8.06,MU,1686524648
23,bilibino,68.0546,166.4372,288.92,65,100,2.12,RU,1686524648
24,islamorada,24.9243,-80.6278,303.71,86,1,0.89,US,1686524400
25,khark,29.2614,50.3306,304.91,59,0,2.16,IR,1686524535
26,nuku'alofa,-21.1333,-175.2,297.34,69,75,2.57,TO,1686524649
27,yellowknife,62.456,-114.3525,278.44,93,100,6.69,CA,1686524622
28,hamilton,39.1834,-84.5333,294.62,93,100,3.09,US,1686524579
29,kerikeri,-35.2268,173.9474,289.77,87,9,0.45,NZ,1686524649
30,hasaki,35.7333,140.8333,294.37,93,100,2.79,JP,1686524650
31,tshikapa,-6.4167,20.8,298.12,59,91,0.4,CD,1686524429
32,grytviken,-54.2811,-36.5092,269.74,83,28,5.12,GS,1686524650
33,albany,42.6001,-73.9662,299.51,47,93,1.9,US,1686524285
34,port-aux-francais,-49.35,70.2167,278.34,92,100,18.19,TF,1686524483
35,cu chi,10.9667,106.4667,301.16,92,96,2.91,VN,1686524650
36,vasil'yevo,55.836,48.6582,279.52,73,82,2.61,RU,1686524650
37,bethel,41.3712,-73.414,298.72,58,0,4.12,US,1686524651
38,as saffaniyah,27.9708,48.73,307.08,27,38,4.24,SA,1686524651
39,taseyevo,57.2169,94.8978,283.45,53,0,2.35,RU,1686524651
40,rio san juan,19.6439,-70.0763,305.46,78,13,7.08,DO,1686524651
41,port elizabeth,-33.918,25.5701,287.77,93,0,3.58,ZA,1686524651
42,margaret river,-33.95,115.0667,286.59,68,99,5.73,AU,1686524651
43,invercargill,-46.4,168.35,281.96,89,94,3.76,NZ,1686524651
44,xilin hot,43.9667,116.0333,286.94,64,58,3.63,CN,1686524652
45,anadyr,64.75,177.4833,279.43,86,75,7.0,RU,1686524652
46,belyayevka,51.3974,56.4096,290.28,78,100,5.78,RU,1686524652
47,namtsy,62.7161,129.6658,291.11,80,100,4.25,RU,1686524652
48,ilhabela,-23.7781,-45.3581,296.27,65,3,2.12,BR,1686524652
49,queenstown,-31.8976,26.8753,282.71,30,38,3.3,ZA,1686524652
50,qiongshan,20.0058,110.3542,299.14,94,40,3.0,CN,1686524652
51,fort bragg,35.139,-79.006,301.59,85,100,4.63,US,1686524571
